da,equity
2023-01-07 23:45:00,664.74
2023-01-09 00:45:00,664.74
2023-01-10 01:45:00,664.74
2023-01-11 02:45:00,664.74
2023-01-12 03:45:00,664.74
2023-01-13 04:45:00,664.74
2023-01-14 05:45:00,664.74
2023-01-15 06:45:00,664.74
2023-01-16 07:45:00,664.74
2023-01-17 08:45:00,664.74
2023-01-18 09:45:00,664.74
2023-01-19 10:45:00,664.74
2023-01-20 11:45:00,664.74
2023-01-21 12:45:00,664.74
2023-01-22 13:45:00,664.74
2023-01-23 14:45:00,664.74
2023-01-24 15:45:00,664.74
2023-01-25 16:45:00,664.74
2023-01-26 17:45:00,664.74
2023-01-27 18:45:00,664.74
2023-01-28 19:45:00,664.74
2023-01-29 20:45:00,664.74
2023-01-30 21:45:00,664.74
2023-01-31 22:45:00,664.74
2023-02-01 23:45:00,664.74
2023-02-03 00:45:00,664.74
2023-02-04 01:45:00,664.74
2023-02-05 02:45:00,664.74
2023-02-06 03:45:00,664.74
2023-02-07 04:45:00,664.74
2023-02-08 05:45:00,664.74
2023-02-09 06:45:00,664.74
2023-02-10 07:45:00,664.74
2023-02-11 08:45:00,664.74
2023-02-12 09:45:00,664.74
2023-02-13 10:45:00,664.74
2023-02-14 11:45:00,664.74
2023-02-15 12:45:00,664.74
2023-02-16 13:45:00,664.74
2023-02-17 14:45:00,664.74
2023-02-18 15:45:00,664.74
2023-02-19 16:45:00,664.74
2023-02-20 17:45:00,664.74
2023-02-21 18:45:00,664.74
2023-02-22 19:45:00,664.74
2023-02-23 20:45:00,664.74
2023-02-24 21:45:00,664.74
2023-02-25 22:45:00,664.74
2023-02-26 23:45:00,664.74
2023-02-28 00:45:00,664.74
2023-03-01 01:45:00,664.74
2023-03-02 02:45:00,664.74
2023-03-03 03:45:00,664.74
2023-03-04 04:45:00,664.74
2023-03-05 05:45:00,664.74
2023-03-06 06:45:00,664.74
2023-03-07 07:45:00,664.74
2023-03-08 08:45:00,664.74
2023-03-09 09:45:00,664.74
2023-03-10 10:45:00,664.74
2023-03-11 11:45:00,664.74
2023-03-12 12:45:00,664.74
2023-03-13 13:45:00,664.74
2023-03-14 14:45:00,664.74
2023-03-15 15:45:00,664.74
2023-03-16 16:45:00,664.74
2023-03-17 17:45:00,664.74
2023-03-18 18:45:00,664.74
2023-03-19 19:45:00,664.74
2023-03-20 20:45:00,664.74
2023-03-21 21:45:00,664.74
2023-03-22 22:45:00,664.74
2023-03-23 23:45:00,664.74
2023-03-25 00:45:00,664.74
2023-03-26 01:45:00,664.74
2023-03-27 02:45:00,664.74
2023-03-28 03:45:00,664.74
2023-03-29 04:45:00,664.74
2023-03-30 05:45:00,664.74
2023-03-31 06:45:00,664.74
2023-04-01 07:45:00,664.74
2023-04-02 08:45:00,664.74
2023-04-03 09:45:00,664.74
2023-04-04 10:45:00,664.74
2023-04-05 11:45:00,664.74
2023-04-06 12:45:00,664.74
2023-04-07 13:45:00,664.74
2023-04-08 14:45:00,664.74
2023-04-09 15:45:00,664.74
2023-04-10 16:45:00,664.74
2023-04-11 17:45:00,664.74
2023-04-12 18:45:00,664.74
2023-04-13 19:45:00,664.74
2023-04-14 20:45:00,664.74
2023-04-15 21:45:00,664.74
2023-04-16 22:45:00,664.74
2023-04-17 23:45:00,664.74
2023-04-19 00:45:00,664.74
2023-04-20 01:45:00,664.74
2023-04-21 02:45:00,664.74
2023-04-22 03:45:00,664.74
2023-04-23 04:45:00,664.74
2023-04-24 05:45:00,664.74
2023-04-25 06:45:00,664.74
2023-04-26 07:45:00,664.74
2023-04-27 08:45:00,664.74
2023-04-28 09:45:00,664.74
2023-04-29 10:45:00,664.74
2023-04-30 11:45:00,664.74
2023-05-01 12:45:00,664.74
2023-05-02 13:45:00,664.74
2023-05-03 14:45:00,664.74
2023-05-04 15:45:00,664.74
2023-05-05 16:45:00,664.74
2023-05-06 17:45:00,664.74
2023-05-07 18:45:00,664.74
2023-05-08 19:45:00,664.74
2023-05-09 20:45:00,664.74
2023-05-10 21:45:00,664.74
2023-05-11 22:45:00,664.74
2023-05-12 23:45:00,664.74
2023-05-14 00:45:00,664.74
2023-05-15 01:45:00,664.74
2023-05-16 02:45:00,664.74
2023-05-17 03:45:00,664.74
2023-05-18 04:45:00,664.74
2023-05-19 05:45:00,664.74
2023-05-20 06:45:00,664.74
2023-05-21 07:45:00,664.74
2023-05-22 08:45:00,664.74
2023-05-23 09:45:00,664.74
2023-05-24 10:45:00,664.74
2023-05-25 11:45:00,664.74
2023-05-26 12:45:00,664.74
2023-05-27 13:45:00,664.74
2023-05-28 14:45:00,664.74
2023-05-29 15:45:00,664.74
2023-05-30 16:45:00,664.74
2023-05-31 17:45:00,664.74
2023-06-01 18:45:00,664.74
2023-06-02 19:45:00,664.74
2023-06-03 20:45:00,664.74
2023-06-04 21:45:00,664.74
2023-06-05 22:45:00,664.74
2023-06-06 23:45:00,664.74
2023-06-08 00:45:00,664.74
2023-06-09 01:45:00,664.74
2023-06-10 02:45:00,664.74
2023-06-11 03:45:00,664.74
2023-06-12 04:45:00,664.74
2023-06-13 05:45:00,664.74
2023-06-14 06:45:00,664.74
2023-06-15 07:45:00,664.74
2023-06-16 08:45:00,664.74
2023-06-17 09:45:00,664.74
2023-06-18 10:45:00,664.74
2023-06-19 11:45:00,664.74
2023-06-20 12:45:00,664.74
2023-06-21 13:45:00,664.74
2023-06-22 14:45:00,664.74
2023-06-23 15:45:00,664.74
2023-06-24 16:45:00,664.74
2023-06-25 17:45:00,664.74
2023-06-26 18:45:00,664.74
2023-06-27 19:45:00,664.74
2023-06-28 20:45:00,664.74
2023-06-29 21:45:00,664.74
2023-06-30 22:45:00,664.74
2023-07-01 23:45:00,664.74
2023-07-03 00:45:00,664.74
2023-07-04 01:45:00,664.74
2023-07-05 02:45:00,664.74
2023-07-06 03:45:00,664.74
2023-07-07 04:45:00,664.74
2023-07-08 05:45:00,664.74
2023-07-09 06:45:00,664.74
2023-07-10 07:45:00,664.74
2023-07-11 08:45:00,664.74
2023-07-12 09:45:00,664.74
2023-07-13 10:45:00,664.74
2023-07-14 11:45:00,664.74
2023-07-15 12:45:00,664.74
2023-07-16 13:45:00,664.74
2023-07-17 14:45:00,664.74
2023-07-18 15:45:00,664.74
2023-07-19 16:45:00,664.74
2023-07-20 17:45:00,664.74
2023-07-21 18:45:00,664.74
2023-07-22 19:45:00,664.74
2023-07-23 20:45:00,664.74
2023-07-24 21:45:00,664.74
2023-07-25 22:45:00,664.74
2023-07-26 23:45:00,664.74
2023-07-28 00:45:00,664.74
2023-07-29 01:45:00,664.74
2023-07-30 02:45:00,664.74
2023-07-31 03:45:00,664.74
2023-08-01 04:45:00,664.74
2023-08-02 05:45:00,664.74
2023-08-03 06:45:00,664.74
2023-08-04 07:45:00,664.74
2023-08-05 08:45:00,664.74
2023-08-06 09:45:00,664.74
2023-08-07 10:45:00,664.74
2023-08-08 11:45:00,664.74
2023-08-09 12:45:00,664.74
2023-08-10 13:45:00,664.74
2023-08-11 14:45:00,664.74
2023-08-12 15:45:00,664.74
2023-08-13 16:45:00,664.74
2023-08-14 17:45:00,664.74
2023-08-15 18:45:00,664.74
2023-08-16 19:45:00,664.74
2023-08-17 20:45:00,664.74
2023-08-18 21:45:00,664.74
2023-08-19 22:45:00,664.74
2023-08-20 23:45:00,664.74
2023-08-22 00:45:00,664.74
2023-08-23 01:45:00,664.74
2023-08-24 02:45:00,664.74
2023-08-25 03:45:00,664.74
2023-08-26 04:45:00,664.74
2023-08-27 05:45:00,664.74
2023-08-28 06:45:00,664.74
2023-08-29 07:45:00,664.74
2023-08-30 08:45:00,664.74
2023-08-31 09:45:00,664.74
2023-09-01 10:45:00,664.74
2023-09-02 11:45:00,664.74
2023-09-03 12:45:00,664.74
2023-09-04 13:45:00,664.74
2023-09-05 14:45:00,664.74
2023-09-06 15:45:00,664.74
2023-09-07 16:45:00,664.74
2023-09-08 17:45:00,664.74
2023-09-09 18:45:00,664.74
2023-09-10 19:45:00,664.74
2023-09-11 20:45:00,664.74
2023-09-12 21:45:00,664.74
2023-09-13 22:45:00,664.74
2023-09-14 23:45:00,664.74
2023-09-16 00:45:00,664.74
2023-09-17 01:45:00,664.74
2023-09-18 02:45:00,664.74
2023-09-19 03:45:00,664.74
2023-09-20 04:45:00,664.74
2023-09-21 05:45:00,664.74
2023-09-22 06:45:00,664.74
2023-09-23 07:45:00,664.74
2023-09-24 08:45:00,664.74
2023-09-25 09:45:00,664.74
2023-09-26 10:45:00,664.74
2023-09-27 11:45:00,664.74
2023-09-28 12:45:00,664.74
2023-09-29 13:45:00,664.74
2023-09-30 14:45:00,664.74
2023-10-01 15:45:00,664.74
2023-10-02 16:45:00,664.74
2023-10-03 17:45:00,664.74
2023-10-04 18:45:00,664.74
2023-10-05 19:45:00,664.74
2023-10-06 20:45:00,664.74
2023-10-07 21:45:00,664.74
2023-10-08 22:45:00,664.74
2023-10-09 23:45:00,664.74
2023-10-11 00:45:00,664.74
2023-10-12 01:45:00,664.74
2023-10-13 02:45:00,664.74
2023-10-14 03:45:00,664.74
2023-10-15 04:45:00,664.74
2023-10-16 05:45:00,664.74
2023-10-17 06:45:00,664.74
2023-10-18 07:45:00,664.74
2023-10-19 08:45:00,664.74
2023-10-20 09:45:00,664.74
2023-10-21 10:45:00,664.74
2023-10-22 11:45:00,664.74
2023-10-23 12:45:00,664.74
2023-10-24 13:45:00,664.74
2023-10-25 14:45:00,664.74
2023-10-26 15:45:00,664.74
2023-10-27 16:45:00,664.74
2023-10-28 17:45:00,664.74
2023-10-29 18:45:00,664.74
2023-10-30 19:45:00,664.74
2023-10-31 20:45:00,664.74
2023-11-01 21:45:00,664.74
2023-11-02 22:45:00,664.74
2023-11-03 23:45:00,664.74
2023-11-05 00:45:00,664.74
2023-11-06 01:45:00,664.74
2023-11-07 02:45:00,664.74
2023-11-08 03:45:00,664.74
2023-11-09 04:45:00,664.74
2023-11-10 05:45:00,664.74
2023-11-11 06:45:00,664.74
2023-11-12 07:45:00,664.74
2023-11-13 08:45:00,664.74
2023-11-14 09:45:00,664.74
2023-11-15 10:45:00,664.74
2023-11-16 11:45:00,664.74
2023-11-17 12:45:00,664.74
2023-11-18 13:45:00,664.74
2023-11-19 14:45:00,664.74
2023-11-20 15:45:00,664.74
2023-11-21 16:45:00,664.74
2023-11-22 17:45:00,664.74
2023-11-23 18:45:00,664.74
2023-11-24 19:45:00,664.74
2023-11-25 20:45:00,664.74
2023-11-26 21:45:00,664.74
2023-11-27 22:45:00,664.74
2023-11-28 23:45:00,664.74
2023-11-30 00:45:00,664.74
2023-12-01 01:45:00,664.74
2023-12-02 02:45:00,664.74
2023-12-03 03:45:00,664.74
2023-12-04 04:45:00,664.74
2023-12-05 05:45:00,664.74
2023-12-06 06:45:00,664.74
2023-12-07 07:45:00,664.74
2023-12-08 08:45:00,664.74
2023-12-09 09:45:00,664.74
2023-12-10 10:45:00,664.74
2023-12-11 11:45:00,664.74
2023-12-12 12:45:00,664.74
2023-12-13 13:45:00,664.74
2023-12-14 14:45:00,664.74
2023-12-15 15:45:00,664.74
2023-12-16 16:45:00,664.74
2023-12-17 17:45:00,664.74
2023-12-18 18:45:00,664.74
2023-12-19 19:45:00,664.74
2023-12-20 20:45:00,664.74
2023-12-21 21:45:00,664.74
2023-12-22 22:45:00,664.74
2023-12-23 23:45:00,664.74
2023-12-25 00:45:00,664.74
2023-12-26 01:45:00,664.74
2023-12-27 02:45:00,664.74
2023-12-28 03:45:00,664.74
2023-12-29 04:45:00,664.74
2023-12-30 05:45:00,664.74
2023-12-31 06:45:00,664.74
2024-01-01 07:45:00,664.74
2024-01-02 08:45:00,664.74
2024-01-03 09:45:00,664.74
2024-01-04 10:45:00,664.74
2024-01-05 11:45:00,664.74
2024-01-06 12:45:00,664.74
2024-01-07 13:45:00,664.74
2024-01-08 14:45:00,664.74
2024-01-09 15:45:00,664.74
2024-01-10 16:45:00,664.74
2024-01-11 17:45:00,664.74
2024-01-12 18:45:00,664.74
2024-01-13 19:45:00,664.74
2024-01-14 20:45:00,664.74
2024-01-15 21:45:00,664.74
2024-01-16 22:45:00,664.74
2024-01-17 23:45:00,664.74
2024-01-19 00:45:00,664.74
2024-01-20 01:45:00,664.74
2024-01-21 02:45:00,664.74
2024-01-22 03:45:00,664.74
2024-01-23 04:45:00,664.74
2024-01-24 05:45:00,664.74
2024-01-25 06:45:00,664.74
2024-01-26 07:45:00,664.74
2024-01-27 08:45:00,664.74
2024-01-28 09:45:00,664.74
2024-01-29 10:45:00,664.74
2024-01-30 11:45:00,664.74
2024-01-31 12:45:00,664.74
2024-02-01 13:45:00,664.74
2024-02-02 14:45:00,664.74
2024-02-03 15:45:00,664.74
2024-02-04 16:45:00,664.74
2024-02-05 17:45:00,664.74
2024-02-06 18:45:00,664.74
2024-02-07 19:45:00,664.74
2024-02-08 20:45:00,664.74
2024-02-09 21:45:00,664.74
2024-02-10 22:45:00,664.74
2024-02-11 23:45:00,664.74
2024-02-13 00:45:00,664.74
2024-02-14 01:45:00,664.74
2024-02-15 02:45:00,664.74
2024-02-16 03:45:00,664.74
2024-02-17 04:45:00,664.74
2024-02-18 05:45:00,664.74
2024-02-19 06:45:00,649.4
2024-02-20 07:45:00,643.38
2024-02-21 08:45:00,643.38
2024-02-22 09:45:00,643.38
2024-02-23 10:45:00,643.38
2024-02-24 11:45:00,643.38
2024-02-25 12:45:00,643.38
2024-02-26 13:45:00,643.38
2024-02-27 14:45:00,643.38
2024-02-28 15:45:00,643.38
2024-02-29 16:45:00,643.38
2024-03-01 17:45:00,643.38
2024-03-02 18:45:00,643.38
2024-03-03 19:45:00,643.38
2024-03-04 20:45:00,643.38
2024-03-05 21:45:00,643.38
2024-03-06 22:45:00,643.38
2024-03-07 23:45:00,643.38
2024-03-09 00:45:00,643.38
2024-03-10 01:45:00,643.38
2024-03-11 02:45:00,643.38
2024-03-12 03:45:00,643.38
2024-03-13 04:45:00,643.38
2024-03-14 05:45:00,643.38
2024-03-15 06:45:00,643.38
2024-03-16 07:45:00,643.38
2024-03-17 08:45:00,643.38
2024-03-18 09:45:00,643.38
2024-03-19 10:45:00,643.38
2024-03-20 11:45:00,643.38
2024-03-21 12:45:00,643.38
2024-03-22 13:45:00,643.38
2024-03-23 14:45:00,643.38
2024-03-24 15:45:00,643.38
2024-03-25 16:45:00,643.38
2024-03-26 17:45:00,643.38
2024-03-27 18:45:00,643.38
2024-03-28 19:45:00,643.38
2024-03-29 20:45:00,643.38
2024-03-30 21:45:00,643.38
2024-03-31 22:45:00,643.38
2024-04-01 23:45:00,643.38
2024-04-03 00:45:00,643.38
2024-04-04 01:45:00,643.38
2024-04-05 02:45:00,643.38
2024-04-06 03:45:00,643.38
2024-04-07 04:45:00,643.38
2024-04-08 05:45:00,643.38
2024-04-09 06:45:00,643.38
2024-04-10 07:45:00,643.38
2024-04-11 08:45:00,643.38
2024-04-12 09:45:00,643.38
2024-04-13 10:45:00,643.38
2024-04-14 11:45:00,643.38
2024-04-15 12:45:00,643.38
2024-04-16 13:45:00,643.38
2024-04-17 14:45:00,643.38
2024-04-18 15:45:00,643.38
2024-04-19 16:45:00,643.38
2024-04-20 17:45:00,643.38
2024-04-21 18:45:00,643.38
2024-04-22 19:45:00,643.38
2024-04-23 20:45:00,643.38
